"행정구역별(시도)","다문화가구 구성별",2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(시도)","다문화가구 구성별",총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처
"면부","내국인(출생)+다문화자녀",4812,4629,3835,563,38,126,67,183,5151,4948,4043,641,47,138,79,203,5469,5258,4255,704,66,150,83,211,6089,5841,4733,767,81,170,90,248,6378,6104,4903,826,91,188,96,274
"면부","내국인(귀화)+외국인(결혼이민자)",760,721,382,226,19,81,13,39,925,888,457,295,28,87,21,37,947,896,427,314,34,97,24,51,1038,992,429,373,38,125,27,46,1136,1075,447,409,46,154,19,61
"면부","기타",2133,1800,1360,256,24,92,68,333,2297,1974,1468,327,28,88,63,323,1922,1666,1251,250,39,85,41,256,2787,2433,1815,364,46,138,70,354,3009,2618,1952,394,55,130,87,391
"동부","계",258081,247152,91645,103178,6210,42073,4046,10929,273017,261111,91319,114485,6533,44664,4110,11906,283544,269939,87625,124829,6878,46580,4027,13605,296833,281680,89083,132565,7349,48420,4263,15153,309057,292574,89499,140647,7649,50509,4270,16483
"동부","내국인(귀화)",52852,49477,24432,13028,1041,9968,1008,3375,54751,51080,24078,14470,1057,10461,1014,3671,59026,54769,24282,16681,1195,11615,996,4257,63895,59122,25443,18734,1355,12468,1122,4773,66155,61055,25255,20285,1464,12940,1111,5100
"동부","내국인(출생)+내국인(귀화)",54993,53831,14016,27548,1559,10106,602,1162,57678,56410,13894,29840,1628,10446,602,1268,60321,58910,13554,32262,1652,10843,599,1411,63042,61507,13560,34483,1687,11158,619,1535,66632,64998,13692,37155,1787,11719,645,1634
"동부","내국인(출생)+외국인(결혼이민자)",89461,85925,25283,44096,2268,13072,1206,3536,92881,89127,24779,47134,2314,13702,1198,3754,99231,94710,24392,52279,2533,14236,1270,4521,95121,90490,20337,52411,2550,14122,1070,4631,95805,90990,19909,53443,2558,14018,1062,4815
"동부","내국인(출생)+다문화자녀",22411,21847,6213,11712,658,2911,353,564,26376,25668,6780,14411,767,3323,387,708,28122,27289,7373,14985,793,3753,385,833,30476,29617,8122,16273,900,3878,444,859,32381,31403,8265,17623,927,4153,435,978
"동부","내국인(귀화)+외국인(결혼이민자)",13818,12956,5103,3812,370,3499,172,862,15362,14366,5151,4736,400,3891,188,996,16974,15731,5380,5586,458,4109,198,1243,16770,15394,4626,6003,451,4132,182,1376,19632,18012,5336,7196,512,4744,224,1620
"동부","기타",24546,23116,16598,2982,314,2517,705,1430,25969,24460,16637,3894,367,2841,721,1509,19870,18530,12644,3036,247,2024,579,1340,27529,25550,16995,4661,406,2662,826,1979,28452,26116,17042,4945,401,2935,793,2336
